existing_route,上學,就診,工作,治療,訓練,purpose_type_count,is_mixed_purpose
SR3631,0,0,4,0,7,2,1
SR3632,6,0,0,0,4,2,1
SR3641,0,0,3,0,3,2,1
SR3642,15,0,0,0,0,1,0
SR3651,0,0,3,0,3,2,1
SR3652,0,0,3,0,2,2,1
SR3661,4,0,0,0,4,2,1
SR3662,7,0,2,0,0,2,1
SR3671,12,0,0,0,9,2,1
SR3672,10,0,0,0,0,1,0
SR3681,10,0,0,0,0,1,0
SR3682,0,0,2,0,11,2,1
SR3691,0,0,1,0,2,2,1
SR3692,4,0,0,0,9,2,1
SR3701,4,0,0,0,2,2,1
SR3702,0,0,1,0,9,2,1
SR3717,0,0,0,1,3,2,1
SR3727,0,0,2,3,3,3,1
SR3731,7,0,1,0,0,2,1
SR3732,9,0,0,0,0,1,0
SR3741,4,0,0,0,3,2,1
SR3742,4,0,2,1,4,4,1
SR3751,0,0,3,1,2,3,1
SR3752,0,0,2,1,3,3,1
SR3761,0,0,1,0,3,2,1
SR3762,0,0,0,0,4,1,0
SR6001,4,0,4,0,0,2,1
SR6002,8,0,0,0,0,1,0
SR6011,4,0,0,0,6,2,1
SR6012,6,0,0,0,4,2,1
SR6021,7,0,0,0,4,2,1
SR6022,11,0,0,0,3,2,1
SR6031,1,0,0,0,7,2,1
SR6032,2,0,3,0,2,3,1
SR6041,1,0,1,0,5,3,1
SR6042,11,0,0,0,8,2,1
SR6051,8,0,0,0,4,2,1
SR6052,2,0,0,0,8,2,1
SR6061,3,0,0,0,6,2,1
SR6062,0,0,0,0,12,1,0
SR6071,7,0,1,0,2,3,1
SR6072,6,0,0,0,2,2,1
SR6081,11,0,0,0,0,1,0
SR6082,6,0,1,0,2,3,1
SR6091,0,1,0,0,12,2,1
SR6092,10,0,0,0,2,2,1
SR6101,4,0,0,0,10,2,1
SR6102,9,0,0,0,3,2,1
SR6111,0,0,1,0,3,2,1
SR6112,0,0,2,0,4,2,1
SR6121,11,0,0,0,5,2,1
SR6122,4,0,0,0,3,2,1
SR6131,7,0,0,0,3,2,1
SR6132,0,0,0,0,9,1,0
SR6141,7,0,0,0,6,2,1
SR6142,9,0,0,0,2,2,1
SR6151,6,0,0,0,2,2,1
SR6152,2,0,0,0,1,2,1
SR6161,4,0,0,0,6,2,1
SR6162,0,0,2,0,6,2,1
SR6171,0,0,0,0,6,1,0
SR6172,1,0,0,0,6,2,1
SR6181,0,0,2,0,3,2,1
SR6182,0,1,1,0,1,3,1
SR6191,3,0,1,0,0,2,1
SR6192,3,0,0,0,0,1,0
SR6201,1,0,1,0,2,3,1
SR6202,0,0,0,0,4,1,0
SR6211,10,0,0,0,0,1,0
SR6212,8,0,1,0,0,2,1
SR6221,9,0,2,0,2,3,1
SR6222,9,0,1,0,3,3,1
SR6231,0,0,4,0,14,2,1
SR6232,4,0,1,0,0,2,1
SR6241,9,0,0,0,2,2,1
SR6242,0,0,7,0,4,2,1
SR6251,13,0,0,0,0,1,0
SR6252,0,0,2,0,4,2,1
SR6261,7,0,0,0,3,2,1
SR6262,6,0,1,0,2,3,1
SR6271,1,0,1,0,6,3,1
SR6272,9,0,0,0,0,1,0
SR6281,5,0,4,0,1,3,1
SR6282,0,0,2,0,5,2,1
SR6291,0,0,3,0,6,2,1
SR6292,0,0,0,0,2,1,0
SR6301,11,0,0,0,0,1,0
SR6302,5,0,0,0,0,1,0
SR6311,1,0,2,0,3,3,1
SR6312,0,0,3,0,2,2,1
SR6321,6,0,0,0,1,2,1
SR6322,0,0,0,0,8,1,0
SR6331,8,0,1,0,3,3,1
SR6332,10,0,1,0,3,3,1
SR6341,1,0,0,0,7,2,1
SR6342,3,0,0,0,2,2,1
SR6351,0,0,0,0,6,1,0
SR6352,0,0,0,0,4,1,0
SR6361,5,0,2,0,2,3,1
SR6362,0,0,0,1,1,2,1
SR6371,0,0,2,1,3,3,1
SR6372,0,0,1,1,3,3,1
SR6381,2,0,1,0,3,3,1
SR6382,2,0,1,0,5,3,1
SR6391,0,0,0,0,5,1,0
SR6392,0,0,0,0,5,1,0
SR6401,0,0,0,0,4,1,0
SR6402,0,0,0,0,4,1,0
SR6411,7,0,0,0,0,1,0
SR6412,7,0,0,0,2,2,1
